FIPS,GEONAME,AgeGroup,Age,Cng5Yr1120
1,"Adams County, Colorado",15,15,-344
1,"Adams County, Colorado",20,20,-379
1,"Adams County, Colorado",25,25,-106
1,"Adams County, Colorado",30,30,115
1,"Adams County, Colorado",35,35,253
1,"Adams County, Colorado",40,40,32
3,"Alamosa County, Colorado",15,15,-16
3,"Alamosa County, Colorado",20,20,-37
3,"Alamosa County, Colorado",25,25,-11
3,"Alamosa County, Colorado",30,30,11
3,"Alamosa County, Colorado",35,35,5
3,"Alamosa County, Colorado",40,40,2
5,"Arapahoe County, Colorado",15,15,-260
5,"Arapahoe County, Colorado",20,20,-413
5,"Arapahoe County, Colorado",25,25,-215
5,"Arapahoe County, Colorado",30,30,389
5,"Arapahoe County, Colorado",35,35,282
5,"Arapahoe County, Colorado",40,40,73
7,"Archuleta County, Colorado",15,15,-12
7,"Archuleta County, Colorado",20,20,-13
7,"Archuleta County, Colorado",25,25,-16
7,"Archuleta County, Colorado",30,30,1
7,"Archuleta County, Colorado",35,35,7
7,"Archuleta County, Colorado",40,40,-3
9,"Baca County, Colorado",15,15,0
9,"Baca County, Colorado",20,20,0
9,"Baca County, Colorado",25,25,1
9,"Baca County, Colorado",30,30,-3
9,"Baca County, Colorado",35,35,4
9,"Baca County, Colorado",40,40,0
11,"Bent County, Colorado",15,15,0
11,"Bent County, Colorado",20,20,-6
11,"Bent County, Colorado",25,25,9
11,"Bent County, Colorado",30,30,0
11,"Bent County, Colorado",35,35,0
11,"Bent County, Colorado",40,40,0
13,"Boulder County, Colorado",15,15,-90
13,"Boulder County, Colorado",20,20,-95
13,"Boulder County, Colorado",25,25,-211
13,"Boulder County, Colorado",30,30,-83
13,"Boulder County, Colorado",35,35,-14
13,"Boulder County, Colorado",40,40,3
14,"Broomfield County, Colorado",15,15,-7
14,"Broomfield County, Colorado",20,20,-21
14,"Broomfield County, Colorado",25,25,-30
14,"Broomfield County, Colorado",30,30,-10
14,"Broomfield County, Colorado",35,35,12
14,"Broomfield County, Colorado",40,40,5
15,"Chaffee County, Colorado",15,15,-5
15,"Chaffee County, Colorado",20,20,-29
15,"Chaffee County, Colorado",25,25,-13
15,"Chaffee County, Colorado",30,30,15
15,"Chaffee County, Colorado",35,35,20
15,"Chaffee County, Colorado",40,40,0
17,"Cheyenne County, Colorado",15,15,0
17,"Cheyenne County, Colorado",20,20,-3
17,"Cheyenne County, Colorado",25,25,5
17,"Cheyenne County, Colorado",30,30,-1
17,"Cheyenne County, Colorado",35,35,0
17,"Cheyenne County, Colorado",40,40,0
19,"Clear Creek County, Colorado",15,15,0
19,"Clear Creek County, Colorado",20,20,-7
19,"Clear Creek County, Colorado",25,25,10
19,"Clear Creek County, Colorado",30,30,10
19,"Clear Creek County, Colorado",35,35,-7
19,"Clear Creek County, Colorado",40,40,-4
21,"Conejos County, Colorado",15,15,-14
21,"Conejos County, Colorado",20,20,-10
21,"Conejos County, Colorado",25,25,1
21,"Conejos County, Colorado",30,30,1
21,"Conejos County, Colorado",35,35,3
21,"Conejos County, Colorado",40,40,0
23,"Costilla County, Colorado",15,15,-3
23,"Costilla County, Colorado",20,20,-11
23,"Costilla County, Colorado",25,25,12
23,"Costilla County, Colorado",30,30,-3
23,"Costilla County, Colorado",35,35,3
23,"Costilla County, Colorado",40,40,0
25,"Crowley County, Colorado",15,15,0
25,"Crowley County, Colorado",20,20,-6
25,"Crowley County, Colorado",25,25,0
25,"Crowley County, Colorado",30,30,-3
25,"Crowley County, Colorado",35,35,0
25,"Crowley County, Colorado",40,40,0
27,"Custer County, Colorado",15,15,0
27,"Custer County, Colorado",20,20,1
27,"Custer County, Colorado",25,25,4
27,"Custer County, Colorado",30,30,3
27,"Custer County, Colorado",35,35,4
27,"Custer County, Colorado",40,40,0
29,"Delta County, Colorado",15,15,-30
29,"Delta County, Colorado",20,20,-52
29,"Delta County, Colorado",25,25,12
29,"Delta County, Colorado",30,30,-7
29,"Delta County, Colorado",35,35,7
29,"Delta County, Colorado",40,40,1
31,"Denver County, Colorado",15,15,-453
31,"Denver County, Colorado",20,20,-604
31,"Denver County, Colorado",25,25,-527
31,"Denver County, Colorado",30,30,164
31,"Denver County, Colorado",35,35,421
31,"Denver County, Colorado",40,40,79
33,"Dolores County, Colorado",15,15,0
33,"Dolores County, Colorado",20,20,-3
33,"Dolores County, Colorado",25,25,3
33,"Dolores County, Colorado",30,30,0
33,"Dolores County, Colorado",35,35,0
33,"Dolores County, Colorado",40,40,0
35,"Douglas County, Colorado",15,15,-39
35,"Douglas County, Colorado",20,20,-31
35,"Douglas County, Colorado",25,25,-59
35,"Douglas County, Colorado",30,30,28
35,"Douglas County, Colorado",35,35,142
35,"Douglas County, Colorado",40,40,-15
37,"Eagle County, Colorado",15,15,-21
37,"Eagle County, Colorado",20,20,-43
37,"Eagle County, Colorado",25,25,-37
37,"Eagle County, Colorado",30,30,-41
37,"Eagle County, Colorado",35,35,25
37,"Eagle County, Colorado",40,40,-7
39,"Elbert County, Colorado",15,15,-10
39,"Elbert County, Colorado",20,20,-3
39,"Elbert County, Colorado",25,25,19
39,"Elbert County, Colorado",30,30,38
39,"Elbert County, Colorado",35,35,22
39,"Elbert County, Colorado",40,40,-11
41,"El Paso County, Colorado",15,15,-321
41,"El Paso County, Colorado",20,20,-580
41,"El Paso County, Colorado",25,25,-9
41,"El Paso County, Colorado",30,30,317
41,"El Paso County, Colorado",35,35,313
41,"El Paso County, Colorado",40,40,44
43,"Fremont County, Colorado",15,15,-9
43,"Fremont County, Colorado",20,20,-38
43,"Fremont County, Colorado",25,25,21
43,"Fremont County, Colorado",30,30,33
43,"Fremont County, Colorado",35,35,17
43,"Fremont County, Colorado",40,40,7
45,"Garfield County, Colorado",15,15,-38
45,"Garfield County, Colorado",20,20,-46
45,"Garfield County, Colorado",25,25,-34
45,"Garfield County, Colorado",30,30,-40
45,"Garfield County, Colorado",35,35,29
45,"Garfield County, Colorado",40,40,18
47,"Gilpin County, Colorado",15,15,0
47,"Gilpin County, Colorado",20,20,0
47,"Gilpin County, Colorado",25,25,0
47,"Gilpin County, Colorado",30,30,3
47,"Gilpin County, Colorado",35,35,4
47,"Gilpin County, Colorado",40,40,0
49,"Grand County, Colorado",15,15,-3
49,"Grand County, Colorado",20,20,5
49,"Grand County, Colorado",25,25,15
49,"Grand County, Colorado",30,30,4
49,"Grand County, Colorado",35,35,5
49,"Grand County, Colorado",40,40,6
51,"Gunnison County, Colorado",15,15,-3
51,"Gunnison County, Colorado",20,20,-2
51,"Gunnison County, Colorado",25,25,-6
51,"Gunnison County, Colorado",30,30,-13
51,"Gunnison County, Colorado",35,35,7
51,"Gunnison County, Colorado",40,40,1
53,"Hinsdale County, Colorado",15,15,0
53,"Hinsdale County, Colorado",20,20,0
53,"Hinsdale County, Colorado",25,25,0
53,"Hinsdale County, Colorado",30,30,0
53,"Hinsdale County, Colorado",35,35,0
53,"Hinsdale County, Colorado",40,40,0
55,"Huerfano County, Colorado",15,15,-5
55,"Huerfano County, Colorado",20,20,-7
55,"Huerfano County, Colorado",25,25,6
55,"Huerfano County, Colorado",30,30,0
55,"Huerfano County, Colorado",35,35,0
55,"Huerfano County, Colorado",40,40,0
57,"Jackson County, Colorado",15,15,-4
57,"Jackson County, Colorado",20,20,0
57,"Jackson County, Colorado",25,25,0
57,"Jackson County, Colorado",30,30,0
57,"Jackson County, Colorado",35,35,0
57,"Jackson County, Colorado",40,40,0
59,"Jefferson County, Colorado",15,15,-184
59,"Jefferson County, Colorado",20,20,-411
59,"Jefferson County, Colorado",25,25,-280
59,"Jefferson County, Colorado",30,30,589
59,"Jefferson County, Colorado",35,35,423
59,"Jefferson County, Colorado",40,40,51
61,"Kiowa County, Colorado",15,15,0
61,"Kiowa County, Colorado",20,20,0
61,"Kiowa County, Colorado",25,25,0
61,"Kiowa County, Colorado",30,30,0
61,"Kiowa County, Colorado",35,35,0
61,"Kiowa County, Colorado",40,40,0
63,"Kit Carson County, Colorado",15,15,-9
63,"Kit Carson County, Colorado",20,20,-13
63,"Kit Carson County, Colorado",25,25,6
63,"Kit Carson County, Colorado",30,30,9
63,"Kit Carson County, Colorado",35,35,-4
63,"Kit Carson County, Colorado",40,40,0
65,"Lake County, Colorado",15,15,-7
65,"Lake County, Colorado",20,20,-24
65,"Lake County, Colorado",25,25,3
65,"Lake County, Colorado",30,30,-1
65,"Lake County, Colorado",35,35,-8
65,"Lake County, Colorado",40,40,0
67,"La Plata County, Colorado",15,15,-37
67,"La Plata County, Colorado",20,20,-48
67,"La Plata County, Colorado",25,25,-15
67,"La Plata County, Colorado",30,30,25
67,"La Plata County, Colorado",35,35,16
67,"La Plata County, Colorado",40,40,-4
69,"Larimer County, Colorado",15,15,-106
69,"Larimer County, Colorado",20,20,-156
69,"Larimer County, Colorado",25,25,-131
69,"Larimer County, Colorado",30,30,-4
69,"Larimer County, Colorado",35,35,164
69,"Larimer County, Colorado",40,40,7
71,"Las Animas County, Colorado",15,15,-17
71,"Las Animas County, Colorado",20,20,-21
71,"Las Animas County, Colorado",25,25,-10
71,"Las Animas County, Colorado",30,30,8
71,"Las Animas County, Colorado",35,35,-3
71,"Las Animas County, Colorado",40,40,0
73,"Lincoln County, Colorado",15,15,-3
73,"Lincoln County, Colorado",20,20,-14
73,"Lincoln County, Colorado",25,25,-2
73,"Lincoln County, Colorado",30,30,-1
73,"Lincoln County, Colorado",35,35,4
73,"Lincoln County, Colorado",40,40,0
75,"Logan County, Colorado",15,15,-5
75,"Logan County, Colorado",20,20,-8
75,"Logan County, Colorado",25,25,8
75,"Logan County, Colorado",30,30,18
75,"Logan County, Colorado",35,35,1
75,"Logan County, Colorado",40,40,5
77,"Mesa County, Colorado",15,15,-93
77,"Mesa County, Colorado",20,20,-156
77,"Mesa County, Colorado",25,25,-159
77,"Mesa County, Colorado",30,30,16
77,"Mesa County, Colorado",35,35,51
77,"Mesa County, Colorado",40,40,5
79,"Mineral County, Colorado",15,15,0
79,"Mineral County, Colorado",20,20,0
79,"Mineral County, Colorado",25,25,3
79,"Mineral County, Colorado",30,30,0
79,"Mineral County, Colorado",35,35,0
79,"Mineral County, Colorado",40,40,0
81,"Moffat County, Colorado",15,15,-13
81,"Moffat County, Colorado",20,20,-21
81,"Moffat County, Colorado",25,25,-15
81,"Moffat County, Colorado",30,30,-4
81,"Moffat County, Colorado",35,35,-3
81,"Moffat County, Colorado",40,40,3
83,"Montezuma County, Colorado",15,15,-33
83,"Montezuma County, Colorado",20,20,-42
83,"Montezuma County, Colorado",25,25,2
83,"Montezuma County, Colorado",30,30,3
83,"Montezuma County, Colorado",35,35,2
83,"Montezuma County, Colorado",40,40,8
85,"Montrose County, Colorado",15,15,-35
85,"Montrose County, Colorado",20,20,-26
85,"Montrose County, Colorado",25,25,-42
85,"Montrose County, Colorado",30,30,-7
85,"Montrose County, Colorado",35,35,23
85,"Montrose County, Colorado",40,40,5
87,"Morgan County, Colorado",15,15,-28
87,"Morgan County, Colorado",20,20,-55
87,"Morgan County, Colorado",25,25,33
87,"Morgan County, Colorado",30,30,23
87,"Morgan County, Colorado",35,35,0
87,"Morgan County, Colorado",40,40,-7
89,"Otero County, Colorado",15,15,-26
89,"Otero County, Colorado",20,20,-28
89,"Otero County, Colorado",25,25,10
89,"Otero County, Colorado",30,30,-7
89,"Otero County, Colorado",35,35,18
89,"Otero County, Colorado",40,40,-6
91,"Ouray County, Colorado",15,15,0
91,"Ouray County, Colorado",20,20,0
91,"Ouray County, Colorado",25,25,3
91,"Ouray County, Colorado",30,30,2
91,"Ouray County, Colorado",35,35,-7
91,"Ouray County, Colorado",40,40,0
93,"Park County, Colorado",15,15,-3
93,"Park County, Colorado",20,20,-5
93,"Park County, Colorado",25,25,7
93,"Park County, Colorado",30,30,20
93,"Park County, Colorado",35,35,4
93,"Park County, Colorado",40,40,7
95,"Phillips County, Colorado",15,15,-4
95,"Phillips County, Colorado",20,20,0
95,"Phillips County, Colorado",25,25,-1
95,"Phillips County, Colorado",30,30,2
95,"Phillips County, Colorado",35,35,3
95,"Phillips County, Colorado",40,40,0
97,"Pitkin County, Colorado",15,15,3
97,"Pitkin County, Colorado",20,20,-6
97,"Pitkin County, Colorado",25,25,-18
97,"Pitkin County, Colorado",30,30,-9
97,"Pitkin County, Colorado",35,35,1
97,"Pitkin County, Colorado",40,40,2
99,"Prowers County, Colorado",15,15,-16
99,"Prowers County, Colorado",20,20,-8
99,"Prowers County, Colorado",25,25,10
99,"Prowers County, Colorado",30,30,17
99,"Prowers County, Colorado",35,35,10
99,"Prowers County, Colorado",40,40,3
101,"Pueblo County, Colorado",15,15,-172
101,"Pueblo County, Colorado",20,20,-107
101,"Pueblo County, Colorado",25,25,44
101,"Pueblo County, Colorado",30,30,57
101,"Pueblo County, Colorado",35,35,40
101,"Pueblo County, Colorado",40,40,3
103,"Rio Blanco County, Colorado",15,15,0
103,"Rio Blanco County, Colorado",20,20,-27
103,"Rio Blanco County, Colorado",25,25,-23
103,"Rio Blanco County, Colorado",30,30,-5
103,"Rio Blanco County, Colorado",35,35,3
103,"Rio Blanco County, Colorado",40,40,0
105,"Rio Grande County, Colorado",15,15,-19
105,"Rio Grande County, Colorado",20,20,-21
105,"Rio Grande County, Colorado",25,25,-1
105,"Rio Grande County, Colorado",30,30,-1
105,"Rio Grande County, Colorado",35,35,12
105,"Rio Grande County, Colorado",40,40,-3
107,"Routt County, Colorado",15,15,-5
107,"Routt County, Colorado",20,20,-18
107,"Routt County, Colorado",25,25,-6
107,"Routt County, Colorado",30,30,-10
107,"Routt County, Colorado",35,35,7
107,"Routt County, Colorado",40,40,0
109,"Saguache County, Colorado",15,15,-8
109,"Saguache County, Colorado",20,20,-6
109,"Saguache County, Colorado",25,25,-23
109,"Saguache County, Colorado",30,30,0
109,"Saguache County, Colorado",35,35,0
109,"Saguache County, Colorado",40,40,0
111,"San Juan County, Colorado",15,15,0
111,"San Juan County, Colorado",20,20,0
111,"San Juan County, Colorado",25,25,0
111,"San Juan County, Colorado",30,30,0
111,"San Juan County, Colorado",35,35,0
111,"San Juan County, Colorado",40,40,0
113,"San Miguel County, Colorado",15,15,0
113,"San Miguel County, Colorado",20,20,-4
113,"San Miguel County, Colorado",25,25,-3
113,"San Miguel County, Colorado",30,30,-15
113,"San Miguel County, Colorado",35,35,-6
113,"San Miguel County, Colorado",40,40,-1
115,"Sedgwick County, Colorado",15,15,0
115,"Sedgwick County, Colorado",20,20,-10
115,"Sedgwick County, Colorado",25,25,0
115,"Sedgwick County, Colorado",30,30,4
115,"Sedgwick County, Colorado",35,35,0
115,"Sedgwick County, Colorado",40,40,0
117,"Summit County, Colorado",15,15,-4
117,"Summit County, Colorado",20,20,-4
117,"Summit County, Colorado",25,25,-37
117,"Summit County, Colorado",30,30,-15
117,"Summit County, Colorado",35,35,16
117,"Summit County, Colorado",40,40,-3
119,"Teller County, Colorado",15,15,-13
119,"Teller County, Colorado",20,20,-7
119,"Teller County, Colorado",25,25,-4
119,"Teller County, Colorado",30,30,3
119,"Teller County, Colorado",35,35,-3
119,"Teller County, Colorado",40,40,-12
121,"Washington County, Colorado",15,15,0
121,"Washington County, Colorado",20,20,-12
121,"Washington County, Colorado",25,25,-3
121,"Washington County, Colorado",30,30,8
121,"Washington County, Colorado",35,35,9
121,"Washington County, Colorado",40,40,0
123,"Weld County, Colorado",15,15,-123
123,"Weld County, Colorado",20,20,-75
123,"Weld County, Colorado",25,25,330
123,"Weld County, Colorado",30,30,393
123,"Weld County, Colorado",35,35,155
123,"Weld County, Colorado",40,40,3
125,"Yuma County, Colorado",15,15,-18
125,"Yuma County, Colorado",20,20,-16
125,"Yuma County, Colorado",25,25,-15
125,"Yuma County, Colorado",30,30,8
125,"Yuma County, Colorado",35,35,-5
125,"Yuma County, Colorado",40,40,0
